match id,dataset_type,winner_id
9684989,train,11220
9272696,train,33935
9128825,train,30407
9684751,train,12473
9793811,train,62
9128370,train,30428
9516485,train,30435
9051013,train,44904
9176649,train,293
9290630,train,20
9128566,train,30414
9256351,train,62
9331006,train,15623
9272430,train,33928
9668532,train,41
9587115,train,36098
9344369,train,22784
9457573,train,33935
9128405,train,48341
9433360,train,7258
9085152,train,6698
9151078,train,69
9344446,train,23750
9680173,train,47487
9330502,train,45961
9051146,train,40606
9094245,train,46773
9331258,train,15623
9051174,train,40578
9684632,train,11157
9084732,train,6698
9849678,train,209
9250380,train,251
9887863,train,202
9344460,train,23750
9782072,train,272
9433234,train,7727
9087070,train,188
9094343,train,46731
9388504,train,18360
9823064,train,146
9051132,train,44904
9084963,train,9876
9085166,train,11220
9051230,train,40578
9250268,train,76
9087049,train,20
9484572,train,40564
9290637,train,20
9587038,train,36070
9433262,train,7608
9702713,train,33935
9272759,train,33928
9457629,train,40424
9684975,train,14454
9516506,train,30435
9097332,train,23750
9051118,train,44904
9344404,train,22763
9457433,train,47529
9331244,train,11220
9262070,train,36070
9489416,train,46773
9263092,train,76
9094385,train,46745
9076864,train,42573
9344432,train,23316
9027402,train,17583
9085068,train,7727
9684562,train,12669
9407796,train,48922
9407817,train,48943
9262126,train,36126
9388441,train,17982
9440570,train,55
9123197,train,48
9407803,train,48929
9615080,train,20
9587087,train,36084
9457503,train,42573
8938348,train,20
9087224,train,20
9077032,train,40298
9388413,train,17744
9128797,train,48334
9489423,train,46731
9331342,train,15623
9094364,train,46780
9484656,train,40606
9457496,train,33935
9272640,train,33949
9290945,train,55
9331363,train,15623
8887717,train,33914
9272731,train,33921
9051139,train,40550
9299331,train,237
9271751,train,47480
9027388,train,18570
9084725,train,9701
9516618,train,30407
9272766,train,33963
8887773,train,33949
9176642,train,293
9680180,train,47508
9615094,train,41
9516387,train,30407
9128804,train,30393
9185413,train,48341
9489486,train,46759
9150133,train,216
9085047,train,7258
9352370,train,48
9027283,train,18570
9484537,train,40550
9272612,train,33935
9457594,train,40298
8887836,train,33914
9097101,train,237
9484614,train,40606
9076927,train,40298
9076913,train,47529
9085201,train,9876
9256372,train,48
9085481,train,9967
9433682,train,8056
9051090,train,40606
9681510,train,216
9668546,train,55
9684317,train,12718
9255945,train,55
9271786,train,47501
9484677,train,40550
9094224,train,46745
9299352,train,237
9344425,train,23113
9586996,train,35790
9457517,train,35790
9388518,train,17653
9272563,train,33942
9262210,train,36084
9702727,train,33935
9330978,train,15413
9250310,train,118
9823050,train,202
9098837,train,188
9290952,train,55
9094378,train,46738
9097353,train,23750
9290651,train,20
9222415,train,20
9085376,train,8987
9680201,train,48341
9680320,train,49657
9749697,train,202
9866338,train,18570
9388539,train,18360
9097402,train,22784
9128608,train,30428
9097045,train,237
9484670,train,44904
9087056,train,62
9702762,train,33949
9076836,train,40452
9680292,train,49650
9388574,train,17653
9128475,train,30428
9128692,train,30435
9331293,train,12473
9407747,train,48922
9087035,train,76
9128643,train,30435
9271737,train,47487
9489255,train,46731
9516380,train,48341
9272780,train,33935
9330663,train,14860
9837295,train,237
9586975,train,36112
9489269,train,46759
9433416,train,8987
9085446,train,8301
9344397,train,22497
9262077,train,36112
9516681,train,30421
9680257,train,49657
9271772,train,47501
9377241,train,34
9084697,train,8700
9484551,train,44904
9457678,train,40298
9272710,train,33935
9330964,train,14454
9262028,train,36112
9076990,train,40298
9433367,train,10618
9123169,train,55
9272556,train,33928
9272402,train,33949
9516345,train,30407
9292555,train,55
9516611,train,36014
9097024,train,216
9849769,train,251
9684618,train,14860
9271667,train,47480
9051062,train,44904
9272416,train,33935
9123211,train,48
9657094,train,251
9327485,train,251
9051237,train,40606
9087154,train,62
9684107,train,14860
9388399,train,17982
9085012,train,10618
9027395,train,17982
9084900,train,7258
9459827,train,188
9262098,train,36098
9782079,train,272
8887731,train,33942
9084858,train,9701
9085306,train,9701
9657157,train,251
9684954,train,11220
9614996,train,27
9085341,train,10366
9433402,train,6698
9330992,train,13957
9097171,train,216
9702790,train,33942
9330614,train,11591
8887675,train,33921
9433080,train,8987
9272647,train,33935
9433794,train,9701
9587052,train,36126
9433276,train,7727
9076948,train,47529
9680313,train,49657
9433584,train,10576
9680187,train,49650
9272465,train,33921
9272500,train,33956
9684940,train,11220
9271744,train,47508
9087196,train,55
9327569,train,251
9097262,train,23750
8887871,train,33963
8938418,train,34
9793846,train,188
9085082,train,10618
9271688,train,47494
9128657,train,30414
9097388,train,23113
9516394,train,30428
9433514,train,7258
9713199,train,34
9087203,train,62
9407726,train,48943
9344257,train,23316
9407642,train,48733
9271653,train,47480
9433395,train,7258
9084606,train,6838
9457601,train,47529
9407621,train,48950
9516492,train,30428
9128769,train,48341
9085460,train,7727
9407677,train,48943
9128349,train,30421
9457489,train,40298
9484600,train,40606
9433374,train,7727
9094210,train,46738
9680229,train,47508
9433724,train,9967
9433836,train,9701
9702734,train,33942
9331125,train,13131
8950801,train,55
9457398,train,45072
9516499,train,30414
9457566,train,33935
9076829,train,40424
9516744,train,30407
9433689,train,9967
9484586,train,40606
9668560,train,55
9256379,train,48
9856734,train,76
9290980,train,55
9128622,train,30421
8887822,train,33956
9250338,train,76
9433843,train,7258
9489304,train,46745
9489262,train,46752
9262154,train,36112
8887766,train,33935
9086965,train,118
9457461,train,33935
9128559,train,30421
8797067,train,41
9433815,train,10366
9094308,train,46780
9290644,train,20
9490053,train,188
9516716,train,30414
9051223,train,44904
9225348,train,55
9128468,train,30421
9489283,train,46738
9587003,train,36126
9096975,train,237
9457650,train,33935
9272584,train,33914
9684128,train,14454
9388385,train,17583
9051020,train,40550
9262196,train,38814
9684541,train,15413
9225341,train,55
9615066,train,41
9484691,train,40606
9128685,train,30421
9085432,train,9701
9087175,train,62
9097290,train,23750
9587080,train,35790
9262105,train,36084
9823029,train,237
9433290,train,10618
8950836,train,55
9084753,train,8182
9849643,train,251
9433521,train,9701
9830743,train,209
9271716,train,47480
9085453,train,9876
9433472,train,6698
9085005,train,6698
9489395,train,46759
9344411,train,23750
9433017,train,8056
9123204,train,48
9151064,train,27
9681629,train,223
9085313,train,7258
9128734,train,48341
8887878,train,33935
9084949,train,8301
9433451,train,8987
9084935,train,7258
9290973,train,48
9331384,train,12634
9433430,train,10618
9433066,train,6838
9457384,train,35790
9657136,train,251
9094259,train,46780
9866331,train,17583
9301963,train,279
9272801,train,33935
9250359,train,146
9644109,train,48
9085061,train,8301
9684982,train,11283
9128419,train,48334
9128412,train,30407
9262224,train,36084
9128699,train,30428
8887759,train,33928
9327583,train,251
9096989,train,202
9388371,train,17653
9256365,train,48
8887808,train,33949
9094273,train,46773
9433073,train,7573
9301970,train,202
9256561,train,55
9084998,train,8917
9489465,train,46759
9128377,train,30393
9587094,train,36112
9433045,train,9701
9085103,train,8917
9837253,train,202
9457580,train,33956
9150126,train,216
9271681,train,47480
8887850,train,33928
9823071,train,202
9837218,train,272
9516520,train,30393
9433129,train,8917
9344250,train,23750
9331349,train,14860
9097164,train,237
9262056,train,36070
9433010,train,10576
9516814,train,30435
9330586,train,12046
9516793,train,30428
9084970,train,10366
9344320,train,22497
9516408,train,30414
9292562,train,55
9344299,train,23841
8950808,train,55
9128440,train,48334
9272395,train,33942
9433787,train,6698
9388469,train,17653
9457531,train,45072
9407740,train,48950
9085257,train,9967
9272654,train,33921
9076955,train,33935
9459813,train,188
9225334,train,55
9684947,train,14454
9657052,train,195
9489381,train,46780
9680250,train,47508
9516464,train,36014
9094280,train,46731
9327541,train,825
9331132,train,45961
9085425,train,9701
9433122,train,10576
9489346,train,46752
9027430,train,17653
9433808,train,7608
8887710,train,33914
9272381,train,33963
9433220,train,6838
9433031,train,9876
9586926,train,36112
9084851,train,9967
9433052,train,10366
9516772,train,48334
9484628,train,40592
9185392,train,48341
8797074,train,20
9272787,train,33942
9484684,train,40564
9094427,train,46766
9051034,train,40592
9587059,train,38814
9484635,train,40550
9128755,train,30407
8938404,train,20
9702678,train,33956
9684072,train,11283
9433703,train,10366
9793839,train,293
9684240,train,12473
9440507,train,55
9388420,train,17744
9457692,train,40298
9440556,train,48
9292541,train,55
9097017,train,202
9018225,train,27
9484579,train,40606
9087105,train,34
9432996,train,8182
9680208,train,47508
9272752,train,33942
9516723,train,30428
9331104,train,12634
9516702,train,30400
9516527,train,30421
8887892,train,33956
9222422,train,20
9084760,train,7608
9128706,train,48334
9684373,train,12473
9433829,train,8182
9489360,train,46773
9292534,train,27
9407712,train,48922
9587010,train,36070
9128384,train,48334
9271702,train,47494
9489472,train,46780
9262112,train,36070
9327520,train,251
9684933,train,15497
9587143,train,36084
9433563,train,7258
9516765,train,48341
9128650,train,48334
9377255,train,41
9327576,train,825
9084690,train,8301
9272591,train,33956
9433213,train,6698
9084704,train,9967
9097423,train,23750
9489430,train,46759
9097318,train,23750
9272675,train,33956
9076892,train,40298
9484663,train,44904
9433318,train,7573
9076808,train,33935
9094336,train,46745
9084620,train,7608
9094441,train,46731
9344453,train,22763
9085159,train,8700
9407810,train,48929
9167920,train,209
8887703,train,33942
9433458,train,9701
9837267,train,202
9128342,train,30400
9128580,train,48341
9407775,train,48929
9586968,train,36084
9680299,train,47508
9027409,train,17982
9433171,train,9876
9433136,train,7608
9725757,train,55
9086979,train,76
9094294,train,46773
9702769,train,33935
9097157,train,202
9433381,train,8182
9123218,train,34
9433038,train,9876
9684422,train,15301
9866366,train,17744
9087161,train,34
9344278,train,23750
9085285,train,8056
9516751,train,30393
9085033,train,7727
9051188,train,40564
9330880,train,11220
9327548,train,1490
9516800,train,30414
9097080,train,216
9484516,train,40578
9484502,train,40578
9084774,train,6838
9433115,train,9967
9388567,train,17583
9128433,train,30400
8950815,train,55
9837288,train,272
9457643,train,45072
9272486,train,33935
9128601,train,30407
9433241,train,9701
9097227,train,23869
9516695,train,36014
9433633,train,7608
